# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ANGPT4	ANGPT4	NM_001322809.2	protein_coding	0	0	0	83	2	0	0	15	53	0	0	0	0	0	13
ANGPT4	ANGPT4	NM_015985.4	protein_coding	0	0	0	83	2	0	0	15	53	0	0	0	0	0	13
C20orf202	C20orf202	NM_001009612.3	protein_coding	0	0	0	21	1	0	0	5	5	0	0	0	0	0	10
C20orf96	C20orf96	NM_080571.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
C20orf96	C20orf96	NM_153269.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CSNK2A1	CSNK2A1	NM_001362770.2	protein_coding	0	1	0	25	0	0	0	5	20	0	0	0	0	1	0
CSNK2A1	CSNK2A1	NM_001362771.2	protein_coding	0	1	0	25	0	0	0	5	20	0	0	0	0	1	0
CSNK2A1	CSNK2A1	NM_001895.4	protein_coding	0	1	0	25	1	0	0	5	19	0	0	0	0	1	0
CSNK2A1	CSNK2A1	NM_177559.3	protein_coding	0	1	0	25	1	0	0	5	19	0	0	0	0	1	0
CSNK2A1	CSNK2A1	NM_177560.3	protein_coding	0	1	0	25	1	0	0	5	19	0	0	0	0	1	0
DEFB125	DEFB125	NM_153325.4	protein_coding	0	1	1	15	0	0	0	7	4	1	0	0	0	1	4
DEFB126	DEFB126	NM_030931.4	protein_coding	0	0	0	22	0	0	0	12	3	0	0	0	0	0	7
DEFB127	DEFB127	NM_139074.4	protein_coding	0	0	0	29	1	0	0	13	1	0	0	0	0	0	14
DEFB128	DEFB128	NM_001037732.3	protein_coding	0	0	1	20	0	0	0	8	2	1	0	0	0	0	10
DEFB129	DEFB129	NM_080831.4	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	1
DEFB132	DEFB132	NM_207469.3	protein_coding	0	0	0	52	3	0	0	19	8	0	0	0	0	0	22
FAM110A	FAM110A	NM_001042353.3	protein_coding	0	0	0	27	2	0	0	9	2	0	0	0	0	0	14
FAM110A	FAM110A	NM_001289145.2	protein_coding	0	0	0	27	2	0	0	9	2	0	0	0	0	0	14
FAM110A	FAM110A	NM_001289146.2	protein_coding	0	0	0	27	2	0	0	9	2	0	0	0	0	0	14
FAM110A	FAM110A	NM_001289147.1	protein_coding	0	0	0	12	2	0	0	9	1	0	0	0	0	0	0
FAM110A	FAM110A	NM_031424.6	protein_coding	0	0	0	12	2	0	0	9	0	0	0	0	0	0	1
FAM110A	FAM110A	NM_207121.5	protein_coding	0	0	0	19	2	0	0	9	1	0	0	0	0	0	7
FKBP1A	FKBP1A	NM_000801.5	protein_coding	0	0	0	58	1	0	0	18	34	0	0	0	0	0	5
FKBP1A	FKBP1A	NM_001199786.1	protein_coding	0	1	0	57	0	0	0	18	34	0	0	0	0	1	5
FKBP1A	FKBP1A	NM_054014.3	protein_coding	0	0	0	47	0	0	0	9	33	0	0	0	0	0	5
FKBP1A-SDCBP2	FKBP1A-SDCBP2	NR_037661.1		0	0	0	172	0	0	0	9	152	0	6	0	0	0	5
LOC100289473	LOC100289473	NR_037142.1		0	0	0	12	0	0	0	1	4	0	2	0	0	0	5
LOC105372493	LOC105372493	NR_136535.1		1	0	0	26	0	0	0	13	3	0	0	1	0	0	11
MIR6869	MIR6869	NR_106929.1		0	0	0	11	0	0	0	6	0	0	0	0	0	0	5
NRSN2	NRSN2	NM_001323679.2	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0
NRSN2	NRSN2	NM_001323680.2	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0
NRSN2	NRSN2	NM_001323681.2	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0
NRSN2	NRSN2	NM_001323682.2	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0
NRSN2	NRSN2	NM_001323683.2	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0
NRSN2	NRSN2	NM_001323684.2	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0
NRSN2	NRSN2	NM_001323685.2	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0
NRSN2	NRSN2	NM_024958.3	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0
NRSN2	NRSN2	NR_136649.2		0	0	0	3	0	0	0	2	1	0	0	0	0	0	0
NRSN2-AS1	NRSN2-AS1	NR_109990.1		0	0	0	6	0	0	0	4	1	0	1	0	0	0	0
NSFL1C	NSFL1C	NM_001206736.1	protein_coding	0	0	1	42	5	0	1	11	18	1	0	0	0	0	7
NSFL1C	NSFL1C	NM_016143.4	protein_coding	0	0	1	42	5	0	1	11	18	1	0	0	0	0	7
NSFL1C	NSFL1C	NM_018839.4	protein_coding	0	0	1	42	5	0	1	11	18	1	0	0	0	0	7
NSFL1C	NSFL1C	NR_038164.1		0	0	0	43	0	0	0	11	18	0	7	0	0	0	7
PDYN	PDYN	NM_001190892.1	protein_coding	0	0	0	16	0	0	0	1	10	0	0	0	0	0	5
PDYN	PDYN	NM_001190898.3	protein_coding	0	0	0	16	0	0	0	1	11	0	0	0	0	0	4
PDYN	PDYN	NM_001190899.2	protein_coding	0	0	0	16	0	0	1	1	11	0	0	0	0	0	3
PDYN	PDYN	NM_001190900.1	protein_coding	0	0	0	16	0	0	0	1	11	0	0	0	0	0	4
PDYN	PDYN	NM_024411.5	protein_coding	0	0	0	16	0	0	0	1	11	0	0	0	0	0	4
PDYN-AS1	PDYN-AS1	NR_134520.1		0	0	0	85	0	0	0	17	58	0	5	0	0	0	5
PSMF1	PSMF1	NM_001323407.2	protein_coding	0	1	0	81	0	0	0	0	67	0	0	0	0	1	14
PSMF1	PSMF1	NM_001323408.2	protein_coding	0	1	1	66	0	0	1	0	51	1	0	0	0	1	14
